Organism,Antibiotics,Year,R,S
Staphylococcus aureus,Vancomycin,2016,0,14229
Staphylococcus aureus,Vancomycin,2017,0,11778
Staphylococcus aureus,Vancomycin,2018,0,6654
Staphylococcus aureus,Vancomycin,2019,1,9049
Staphylococcus aureus,Vancomycin,2020,0,9553
Staphylococcus aureus,Vancomycin,2021,1,9707
Staphylococcus aureus,Vancomycin,2022,1,9407
Staphylococcus aureus,Ampicillin sulbactam,2018,2308,4346
Staphylococcus aureus,Ampicillin sulbactam,2019,2509,6541
Staphylococcus aureus,Ampicillin sulbactam,2020,2251,7302
Staphylococcus aureus,Ampicillin sulbactam,2021,2233,7475
Staphylococcus aureus,Ampicillin sulbactam,2022,1787,7621
Staphylococcus aureus,Ceftaroline,2012,649,8178
Staphylococcus aureus,Ceftaroline,2013,880,10800
Staphylococcus aureus,Ceftaroline,2014,737,10454
Staphylococcus aureus,Ceftaroline,2015,620,9538
Staphylococcus aureus,Ceftaroline,2016,522,10160
Staphylococcus aureus,Ceftaroline,2017,590,8390
Staphylococcus aureus,Ceftaroline,2018,136,6518
Staphylococcus aureus,Ceftaroline,2019,290,8760
Staphylococcus aureus,Ceftaroline,2020,318,9235
Staphylococcus aureus,Ceftaroline,2021,247,9461
Staphylococcus aureus,Ceftaroline,2022,99,9309
Staphylococcus aureus,Daptomycin,2012,4,8823
Staphylococcus aureus,Daptomycin,2013,70,11610
Staphylococcus aureus,Daptomycin,2014,29,11162
Staphylococcus aureus,Daptomycin,2015,16,10142
Staphylococcus aureus,Daptomycin,2016,6,10676
Staphylococcus aureus,Daptomycin,2017,10,8970
Staphylococcus aureus,Daptomycin,2018,6,6648
Staphylococcus aureus,Daptomycin,2019,32,9018
Staphylococcus aureus,Daptomycin,2020,30,9523
Staphylococcus aureus,Daptomycin,2021,5,9703
Staphylococcus aureus,Daptomycin,2022,12,9396
Staphylococcus aureus,Doripenem,2012,4238,4589
Staphylococcus aureus,Doripenem,2013,4824,6856
Staphylococcus aureus,Doripenem,2014,3935,7256
Staphylococcus aureus,Doripenem,2015,3676,6482
Staphylococcus aureus,Doripenem,2016,2995,7687
Staphylococcus aureus,Doripenem,2017,2130,6850
Staphylococcus aureus,Gentamicin,2014,1709,9482
Staphylococcus aureus,Gentamicin,2015,1486,8672
Staphylococcus aureus,Gentamicin,2016,1579,9103
Staphylococcus aureus,Gentamicin,2017,1344,7636
Staphylococcus aureus,Gentamicin,2018,540,6254
Staphylococcus aureus,Gentamicin,2019,847,8203
Staphylococcus aureus,Gentamicin,2020,952,8601
Staphylococcus aureus,Gentamicin,2021,923,8785
Staphylococcus aureus,Gentamicin,2022,825,8583
Staphylococcus aureus,Moxifloxacin,2012,3897,4930
Staphylococcus aureus,Moxifloxacin,2013,4992,6688
Staphylococcus aureus,Moxifloxacin,2014,4836,6355
Staphylococcus aureus,Moxifloxacin,2015,4190,5968
Staphylococcus aureus,Moxifloxacin,2016,4391,6291
Staphylococcus aureus,Moxifloxacin,2017,3530,5450
Staphylococcus aureus,Oxacillin,2012,5253,3574
Staphylococcus aureus,Oxacillin,2013,6666,5014
Staphylococcus aureus,Oxacillin,2014,6638,4553
Staphylococcus aureus,Oxacillin,2015,6112,4046
Staphylococcus aureus,Oxacillin,2016,6371,4311
Staphylococcus aureus,Oxacillin,2017,5118,3862
Staphylococcus aureus,Oxacillin,2018,1917,4737
Staphylococcus aureus,Oxacillin,2019,2690,6360
Staphylococcus aureus,Oxacillin,2020,2694,6859
Staphylococcus aureus,Oxacillin,2021,2711,6997
Staphylococcus aureus,Oxacillin,2022,2268,7140
Staphylococcus aureus,Teicoplanin,2012,4,8823
Staphylococcus aureus,Teicoplanin,2013,8,11672
Staphylococcus aureus,Teicoplanin,2014,3,11188
Staphylococcus aureus,Teicoplanin,2015,2,10156
Staphylococcus aureus,Teicoplanin,2016,0,10682
Staphylococcus aureus,Teicoplanin,2017,2,8978
Staphylococcus aureus,Teicoplanin,2018,1,6653
Staphylococcus aureus,Teicoplanin,2019,1,9049
Staphylococcus aureus,Teicoplanin,2020,1,9552
Staphylococcus aureus,Teicoplanin,2021,2,9706
Staphylococcus aureus,Teicoplanin,2022,0,9408
Staphylococcus aureus,Trimethoprim sulfa,2014,391,10800
Staphylococcus aureus,Trimethoprim sulfa,2015,318,9840
Staphylococcus aureus,Trimethoprim sulfa,2016,372,10310
Staphylococcus aureus,Trimethoprim sulfa,2017,296,8684
Staphylococcus aureus,Trimethoprim sulfa,2018,134,6520
Staphylococcus aureus,Trimethoprim sulfa,2019,112,8938
Staphylococcus aureus,Trimethoprim sulfa,2020,150,9403
Staphylococcus aureus,Trimethoprim sulfa,2021,118,9590
Staphylococcus aureus,Trimethoprim sulfa,2022,87,9321
Staphylococcus aureus,Ceftazidime avibactam,2012,5231,3596
Staphylococcus aureus,Ceftazidime avibactam,2013,6623,5057
Staphylococcus aureus,Ceftazidime avibactam,2014,6507,4684
Staphylococcus aureus,Ceftazidime avibactam,2015,5894,4264
Staphylococcus aureus,Ceftazidime avibactam,2016,6029,4653
Staphylococcus aureus,Ceftazidime avibactam,2017,4022,4958
Staphylococcus aureus,Ceftazidime avibactam,2019,0,1
Enterococcus faecium,Amoxycillin clavulanate,2004,311,90
Enterococcus faecium,Amoxycillin clavulanate,2005,360,70
Enterococcus faecium,Amoxycillin clavulanate,2006,551,109
Enterococcus faecium,Amoxycillin clavulanate,2007,577,133
Enterococcus faecium,Amoxycillin clavulanate,2008,633,173
Enterococcus faecium,Amoxycillin clavulanate,2009,803,167
Enterococcus faecium,Amoxycillin clavulanate,2010,597,149
Enterococcus faecium,Amoxycillin clavulanate,2011,481,128
Enterococcus faecium,Amoxycillin clavulanate,2012,474,816
Enterococcus faecium,Amoxycillin clavulanate,2013,612,1060
Enterococcus faecium,Amoxycillin clavulanate,2014,592,1108
Enterococcus faecium,Amoxycillin clavulanate,2015,504,105
Enterococcus faecium,Amoxycillin clavulanate,2016,615,104
Enterococcus faecium,Amoxycillin clavulanate,2017,468,95
Enterococcus faecium,Ampicillin,2004,314,87
Enterococcus faecium,Ampicillin,2005,368,62
Enterococcus faecium,Ampicillin,2006,567,93
Enterococcus faecium,Ampicillin,2007,603,107
Enterococcus faecium,Ampicillin,2008,672,134
Enterococcus faecium,Ampicillin,2009,819,151
Enterococcus faecium,Ampicillin,2010,620,126
Enterococcus faecium,Ampicillin,2011,511,98
Enterococcus faecium,Ampicillin,2012,1119,171
Enterococcus faecium,Ampicillin,2013,1449,223
Enterococcus faecium,Ampicillin,2014,1464,236
Enterococcus faecium,Ampicillin,2015,532,77
Enterococcus faecium,Ampicillin,2016,620,99
Enterococcus faecium,Ampicillin,2017,487,76
Enterococcus faecium,Ampicillin,2018,888,149
Enterococcus faecium,Ampicillin,2019,997,173
Enterococcus faecium,Ampicillin,2020,1176,204
Enterococcus faecium,Ampicillin,2021,1101,157
Enterococcus faecium,Ampicillin,2022,998,175
Enterococcus faecium,Ceftriaxone,2004,375,26
Enterococcus faecium,Ceftriaxone,2005,405,25
Enterococcus faecium,Ceftriaxone,2006,611,49
Enterococcus faecium,Ceftriaxone,2007,672,38
Enterococcus faecium,Ceftriaxone,2008,752,54
Enterococcus faecium,Ceftriaxone,2009,910,60
Enterococcus faecium,Ceftriaxone,2010,695,51
Enterococcus faecium,Ceftriaxone,2011,565,44
Enterococcus faecium,Ceftriaxone,2012,528,38
Enterococcus faecium,Ceftriaxone,2013,686,40
Enterococcus faecium,Ceftriaxone,2014,666,46
Enterococcus faecium,Ceftriaxone,2015,567,42
Enterococcus faecium,Ceftriaxone,2016,669,50
Enterococcus faecium,Ceftriaxone,2017,516,47
Enterococcus faecium,Clindamycin,2014,30,0
Enterococcus faecium,Clindamycin,2018,1037,0
Enterococcus faecium,Clindamycin,2019,1170,0
Enterococcus faecium,Clindamycin,2020,1380,0
Enterococcus faecium,Clindamycin,2021,1258,0
Enterococcus faecium,Clindamycin,2022,1173,0
Enterococcus faecium,Erythromycin,2012,696,28
Enterococcus faecium,Erythromycin,2013,915,31
Enterococcus faecium,Erythromycin,2014,984,34
Enterococcus faecium,Erythromycin,2018,978,59
Enterococcus faecium,Erythromycin,2019,1109,61
Enterococcus faecium,Erythromycin,2020,1320,60
Enterococcus faecium,Erythromycin,2021,1219,39
Enterococcus faecium,Erythromycin,2022,1103,70
Enterococcus faecium,Levofloxacin,2004,332,69
Enterococcus faecium,Levofloxacin,2005,373,57
Enterococcus faecium,Levofloxacin,2006,582,78
Enterococcus faecium,Levofloxacin,2007,604,106
Enterococcus faecium,Levofloxacin,2008,691,115
Enterococcus faecium,Levofloxacin,2009,865,105
Enterococcus faecium,Levofloxacin,2010,646,100
Enterococcus faecium,Levofloxacin,2011,521,88
Enterococcus faecium,Levofloxacin,2012,1156,134
Enterococcus faecium,Levofloxacin,2013,1480,192
Enterococcus faecium,Levofloxacin,2014,1487,213
Enterococcus faecium,Levofloxacin,2015,537,72
Enterococcus faecium,Levofloxacin,2016,638,81
Enterococcus faecium,Levofloxacin,2017,491,72
Enterococcus faecium,Levofloxacin,2018,903,134
Enterococcus faecium,Levofloxacin,2019,1014,156
Enterococcus faecium,Levofloxacin,2020,1181,199
Enterococcus faecium,Levofloxacin,2021,1121,136
Enterococcus faecium,Levofloxacin,2022,1004,169
Enterococcus faecium,Linezolid,2004,8,393
Enterococcus faecium,Linezolid,2005,3,427
Enterococcus faecium,Linezolid,2006,4,656
Enterococcus faecium,Linezolid,2007,7,703
Enterococcus faecium,Linezolid,2008,8,798
Enterococcus faecium,Linezolid,2009,11,959
Enterococcus faecium,Linezolid,2010,6,740
Enterococcus faecium,Linezolid,2011,5,604
Enterococcus faecium,Linezolid,2012,45,1245
Enterococcus faecium,Linezolid,2013,13,1659
Enterococcus faecium,Linezolid,2014,27,1673
Enterococcus faecium,Linezolid,2015,5,604
Enterococcus faecium,Linezolid,2016,5,714
Enterococcus faecium,Linezolid,2017,10,553
Enterococcus faecium,Linezolid,2018,12,1025
Enterococcus faecium,Linezolid,2019,18,1152
Enterococcus faecium,Linezolid,2020,37,1343
Enterococcus faecium,Linezolid,2021,30,1228
Enterococcus faecium,Linezolid,2022,18,1155
Enterococcus faecium,Meropenem,2004,21,5
Enterococcus faecium,Meropenem,2005,29,1
Enterococcus faecium,Meropenem,2006,283,17
Enterococcus faecium,Meropenem,2007,631,54
Enterococcus faecium,Meropenem,2008,723,81
Enterococcus faecium,Meropenem,2009,896,74
Enterococcus faecium,Meropenem,2010,664,82
Enterococcus faecium,Meropenem,2011,552,57
Enterococcus faecium,Meropenem,2012,1169,121
Enterococcus faecium,Meropenem,2013,1588,84
Enterococcus faecium,Meropenem,2014,1607,93
Enterococcus faecium,Meropenem,2015,570,39
Enterococcus faecium,Meropenem,2016,672,47
Enterococcus faecium,Meropenem,2017,526,37
Enterococcus faecium,Minocycline,2004,128,273
Enterococcus faecium,Minocycline,2005,107,323
Enterococcus faecium,Minocycline,2006,156,504
Enterococcus faecium,Minocycline,2007,217,493
Enterococcus faecium,Minocycline,2008,260,546
Enterococcus faecium,Minocycline,2009,302,668
Enterococcus faecium,Minocycline,2010,289,457
Enterococcus faecium,Minocycline,2011,194,415
Enterococcus faecium,Minocycline,2012,515,775
Enterococcus faecium,Minocycline,2013,674,998
Enterococcus faecium,Minocycline,2014,664,1036
Enterococcus faecium,Minocycline,2015,206,403
Enterococcus faecium,Minocycline,2016,236,483
Enterococcus faecium,Minocycline,2017,175,388
Enterococcus faecium,Penicillin,2004,331,70
Enterococcus faecium,Penicillin,2005,371,59
Enterococcus faecium,Penicillin,2006,575,85
Enterococcus faecium,Penicillin,2007,604,106
Enterococcus faecium,Penicillin,2008,666,140
Enterococcus faecium,Penicillin,2009,835,135
Enterococcus faecium,Penicillin,2010,615,131
Enterococcus faecium,Penicillin,2011,499,110
Enterococcus faecium,Penicillin,2012,488,78
Enterococcus faecium,Penicillin,2013,630,96
Enterococcus faecium,Penicillin,2014,584,98
Enterococcus faecium,Penicillin,2015,532,77
Enterococcus faecium,Penicillin,2016,634,85
Enterococcus faecium,Penicillin,2017,485,78
Enterococcus faecium,Piperacillin tazobactam,2004,349,52
Enterococcus faecium,Piperacillin tazobactam,2005,393,37
Enterococcus faecium,Piperacillin tazobactam,2006,601,59
Enterococcus faecium,Piperacillin tazobactam,2007,644,66
Enterococcus faecium,Piperacillin tazobactam,2008,733,73
Enterococcus faecium,Piperacillin tazobactam,2009,897,73
Enterococcus faecium,Piperacillin tazobactam,2010,676,70
Enterococcus faecium,Piperacillin tazobactam,2011,541,68
Enterococcus faecium,Piperacillin tazobactam,2012,1183,107
Enterococcus faecium,Piperacillin tazobactam,2013,1564,108
Enterococcus faecium,Piperacillin tazobactam,2014,1573,127
Enterococcus faecium,Piperacillin tazobactam,2015,563,46
Enterococcus faecium,Piperacillin tazobactam,2016,657,62
Enterococcus faecium,Piperacillin tazobactam,2017,508,55
Enterococcus faecium,Tigecycline,2004,0,401
Enterococcus faecium,Tigecycline,2005,0,430
Enterococcus faecium,Tigecycline,2006,0,660
Enterococcus faecium,Tigecycline,2007,1,709
Enterococcus faecium,Tigecycline,2008,6,800
Enterococcus faecium,Tigecycline,2009,5,965
Enterococcus faecium,Tigecycline,2010,1,745
Enterococcus faecium,Tigecycline,2011,4,605
Enterococcus faecium,Tigecycline,2012,52,1238
Enterococcus faecium,Tigecycline,2013,57,1615
Enterococcus faecium,Tigecycline,2014,24,1676
Enterococcus faecium,Tigecycline,2015,6,603
Enterococcus faecium,Tigecycline,2016,5,714
Enterococcus faecium,Tigecycline,2017,10,553
Enterococcus faecium,Tigecycline,2018,9,1028
Enterococcus faecium,Tigecycline,2019,17,1153
Enterococcus faecium,Tigecycline,2020,28,1352
Enterococcus faecium,Tigecycline,2021,22,1236
Enterococcus faecium,Tigecycline,2022,48,1125
Enterococcus faecium,Vancomycin,2004,193,208
Enterococcus faecium,Vancomycin,2005,233,197
Enterococcus faecium,Vancomycin,2006,302,358
Enterococcus faecium,Vancomycin,2007,303,407
Enterococcus faecium,Vancomycin,2008,239,567
Enterococcus faecium,Vancomycin,2009,282,688
Enterococcus faecium,Vancomycin,2010,186,560
Enterococcus faecium,Vancomycin,2011,185,424
Enterococcus faecium,Vancomycin,2012,441,849
Enterococcus faecium,Vancomycin,2013,515,1157
Enterococcus faecium,Vancomycin,2014,490,1210
Enterococcus faecium,Vancomycin,2015,160,449
Enterococcus faecium,Vancomycin,2016,222,497
Enterococcus faecium,Vancomycin,2017,160,403
Enterococcus faecium,Vancomycin,2018,275,762
Enterococcus faecium,Vancomycin,2019,323,847
Enterococcus faecium,Vancomycin,2020,388,992
Enterococcus faecium,Vancomycin,2021,321,937
Enterococcus faecium,Vancomycin,2022,273,900
Enterococcus faecium,Ampicillin sulbactam,2018,882,155
Enterococcus faecium,Ampicillin sulbactam,2019,1002,168
Enterococcus faecium,Ampicillin sulbactam,2020,1155,225
Enterococcus faecium,Ampicillin sulbactam,2021,1089,169
Enterococcus faecium,Ampicillin sulbactam,2022,989,184
Enterococcus faecium,Gentamicin,2014,21,9
Enterococcus faecium,Gentamicin,2018,414,623
Enterococcus faecium,Gentamicin,2019,516,654
Enterococcus faecium,Gentamicin,2020,565,815
Enterococcus faecium,Gentamicin,2021,514,744
Enterococcus faecium,Gentamicin,2022,457,716
Enterococcus faecium,Oxacillin,2014,30,0
Enterococcus faecium,Oxacillin,2018,1037,0
Enterococcus faecium,Oxacillin,2019,1170,0
Enterococcus faecium,Oxacillin,2020,1380,0
Enterococcus faecium,Oxacillin,2021,1258,0
Enterococcus faecium,Oxacillin,2022,1173,0
Enterococcus faecium,Teicoplanin,2012,201,523
Enterococcus faecium,Teicoplanin,2013,184,762
Enterococcus faecium,Teicoplanin,2014,240,778
Enterococcus faecium,Teicoplanin,2018,233,804
Enterococcus faecium,Teicoplanin,2019,271,899
Enterococcus faecium,Teicoplanin,2020,324,1056
Enterococcus faecium,Teicoplanin,2021,279,979
Enterococcus faecium,Teicoplanin,2022,231,942
Acinetobacter baumannii,Amikacin,2004,316,1007
Acinetobacter baumannii,Amikacin,2005,367,977
Acinetobacter baumannii,Amikacin,2006,591,1276
Acinetobacter baumannii,Amikacin,2007,900,1537
Acinetobacter baumannii,Amikacin,2008,1084,1290
Acinetobacter baumannii,Amikacin,2009,1341,1405
Acinetobacter baumannii,Amikacin,2010,1013,1136
Acinetobacter baumannii,Amikacin,2011,537,929
Acinetobacter baumannii,Amikacin,2012,806,837
Acinetobacter baumannii,Amikacin,2013,993,898
Acinetobacter baumannii,Amikacin,2014,1195,1001
Acinetobacter baumannii,Amikacin,2015,989,854
Acinetobacter baumannii,Amikacin,2016,945,793
Acinetobacter baumannii,Amikacin,2017,383,502
Acinetobacter baumannii,Amikacin,2018,1114,783
Acinetobacter baumannii,Amikacin,2019,2142,1479
Acinetobacter baumannii,Amikacin,2020,1962,1302
Acinetobacter baumannii,Amikacin,2021,2164,1339
Acinetobacter baumannii,Amikacin,2022,1797,1246
Acinetobacter baumannii,Cefepime,2004,726,597
Acinetobacter baumannii,Cefepime,2005,691,653
Acinetobacter baumannii,Cefepime,2006,1046,821
Acinetobacter baumannii,Cefepime,2007,1356,1081
Acinetobacter baumannii,Cefepime,2008,1315,1059
Acinetobacter baumannii,Cefepime,2009,1536,1210
Acinetobacter baumannii,Cefepime,2010,1256,893
Acinetobacter baumannii,Cefepime,2011,748,718
Acinetobacter baumannii,Cefepime,2012,1131,512
Acinetobacter baumannii,Cefepime,2013,1347,544
Acinetobacter baumannii,Cefepime,2014,1542,654
Acinetobacter baumannii,Cefepime,2015,1287,556
Acinetobacter baumannii,Cefepime,2016,1205,533
Acinetobacter baumannii,Cefepime,2017,545,340
Acinetobacter baumannii,Cefepime,2018,1374,523
Acinetobacter baumannii,Cefepime,2019,2643,978
Acinetobacter baumannii,Cefepime,2020,2358,906
Acinetobacter baumannii,Cefepime,2021,2569,934
Acinetobacter baumannii,Cefepime,2022,2095,948
Acinetobacter baumannii,Ceftazidime,2004,732,591
Acinetobacter baumannii,Ceftazidime,2005,701,643
Acinetobacter baumannii,Ceftazidime,2006,1081,786
Acinetobacter baumannii,Ceftazidime,2007,1437,1000
Acinetobacter baumannii,Ceftazidime,2008,1443,931
Acinetobacter baumannii,Ceftazidime,2009,1694,1052
Acinetobacter baumannii,Ceftazidime,2010,1364,785
Acinetobacter baumannii,Ceftazidime,2011,765,701
Acinetobacter baumannii,Ceftazidime,2012,1105,538
Acinetobacter baumannii,Ceftazidime,2013,1350,541
Acinetobacter baumannii,Ceftazidime,2014,1506,690
Acinetobacter baumannii,Ceftazidime,2015,1242,601
Acinetobacter baumannii,Ceftazidime,2016,1175,563
Acinetobacter baumannii,Ceftazidime,2017,515,370
Acinetobacter baumannii,Ceftazidime,2018,1354,543
Acinetobacter baumannii,Ceftazidime,2019,2581,1040
Acinetobacter baumannii,Ceftazidime,2020,2331,933
Acinetobacter baumannii,Ceftazidime,2021,2534,969
Acinetobacter baumannii,Ceftazidime,2022,2091,952
Acinetobacter baumannii,Ceftriaxone,2004,962,361
Acinetobacter baumannii,Ceftriaxone,2005,936,408
Acinetobacter baumannii,Ceftriaxone,2006,1410,457
Acinetobacter baumannii,Ceftriaxone,2007,1878,559
Acinetobacter baumannii,Ceftriaxone,2008,1863,511
Acinetobacter baumannii,Ceftriaxone,2009,2226,520
Acinetobacter baumannii,Ceftriaxone,2010,1773,376
Acinetobacter baumannii,Ceftriaxone,2011,1025,441
Acinetobacter baumannii,Ceftriaxone,2012,880,242
Acinetobacter baumannii,Ceftriaxone,2013,963,230
Acinetobacter baumannii,Ceftriaxone,2014,833,166
Acinetobacter baumannii,Ceftriaxone,2015,948,240
Acinetobacter baumannii,Ceftriaxone,2016,1363,375
Acinetobacter baumannii,Ceftriaxone,2017,643,242
Acinetobacter baumannii,Imipenem,2004,322,995
Acinetobacter baumannii,Imipenem,2005,297,1010
Acinetobacter baumannii,Imipenem,2006,379,721
Acinetobacter baumannii,Imipenem,2007,26,46
Acinetobacter baumannii,Imipenem,2012,352,169
Acinetobacter baumannii,Imipenem,2013,454,244
Acinetobacter baumannii,Imipenem,2014,782,415
Acinetobacter baumannii,Imipenem,2015,453,233
Acinetobacter baumannii,Imipenem,2016,414,225
Acinetobacter baumannii,Imipenem,2017,6,4
Acinetobacter baumannii,Imipenem,2018,1314,583
Acinetobacter baumannii,Imipenem,2019,2537,1084
Acinetobacter baumannii,Imipenem,2020,2287,977
Acinetobacter baumannii,Imipenem,2021,2509,994
Acinetobacter baumannii,Imipenem,2022,2043,1000
Acinetobacter baumannii,Levofloxacin,2004,702,621
Acinetobacter baumannii,Levofloxacin,2005,671,673
Acinetobacter baumannii,Levofloxacin,2006,1038,829
Acinetobacter baumannii,Levofloxacin,2007,1364,1073
Acinetobacter baumannii,Levofloxacin,2008,1383,991
Acinetobacter baumannii,Levofloxacin,2009,1659,1087
Acinetobacter baumannii,Levofloxacin,2010,1311,838
Acinetobacter baumannii,Levofloxacin,2011,754,712
Acinetobacter baumannii,Levofloxacin,2012,1129,514
Acinetobacter baumannii,Levofloxacin,2013,1375,516
Acinetobacter baumannii,Levofloxacin,2014,1566,630
Acinetobacter baumannii,Levofloxacin,2015,1253,590
Acinetobacter baumannii,Levofloxacin,2016,1205,533
Acinetobacter baumannii,Levofloxacin,2017,535,350
Acinetobacter baumannii,Levofloxacin,2018,1371,526
Acinetobacter baumannii,Levofloxacin,2019,2563,1058
Acinetobacter baumannii,Levofloxacin,2020,2325,939
Acinetobacter baumannii,Levofloxacin,2021,2512,991
Acinetobacter baumannii,Levofloxacin,2022,2085,958
Acinetobacter baumannii,Meropenem,2004,1,5
Acinetobacter baumannii,Meropenem,2005,24,13
Acinetobacter baumannii,Meropenem,2006,369,398
Acinetobacter baumannii,Meropenem,2007,1055,1310
Acinetobacter baumannii,Meropenem,2008,1152,1222
Acinetobacter baumannii,Meropenem,2009,1402,1344
Acinetobacter baumannii,Meropenem,2010,1134,1015
Acinetobacter baumannii,Meropenem,2011,681,785
Acinetobacter baumannii,Meropenem,2012,1068,575
Acinetobacter baumannii,Meropenem,2013,1263,628
Acinetobacter baumannii,Meropenem,2014,1484,712
Acinetobacter baumannii,Meropenem,2015,1246,597
Acinetobacter baumannii,Meropenem,2016,1160,578
Acinetobacter baumannii,Meropenem,2017,522,363
Acinetobacter baumannii,Meropenem,2018,1331,566
Acinetobacter baumannii,Meropenem,2019,2570,1051
Acinetobacter baumannii,Meropenem,2020,2284,980
Acinetobacter baumannii,Meropenem,2021,2523,980
Acinetobacter baumannii,Meropenem,2022,2061,982
Acinetobacter baumannii,Minocycline,2004,147,1176
Acinetobacter baumannii,Minocycline,2005,122,1222
Acinetobacter baumannii,Minocycline,2006,188,1679
Acinetobacter baumannii,Minocycline,2007,318,2119
Acinetobacter baumannii,Minocycline,2008,378,1996
Acinetobacter baumannii,Minocycline,2009,513,2233
Acinetobacter baumannii,Minocycline,2010,500,1649
Acinetobacter baumannii,Minocycline,2011,261,1205
Acinetobacter baumannii,Minocycline,2012,255,867
Acinetobacter baumannii,Minocycline,2013,320,873
Acinetobacter baumannii,Minocycline,2014,278,721
Acinetobacter baumannii,Minocycline,2015,306,851
Acinetobacter baumannii,Minocycline,2016,242,857
Acinetobacter baumannii,Minocycline,2017,158,717
Acinetobacter baumannii,Piperacillin tazobactam,2004,609,714
Acinetobacter baumannii,Piperacillin tazobactam,2005,600,744
Acinetobacter baumannii,Piperacillin tazobactam,2006,977,890
Acinetobacter baumannii,Piperacillin tazobactam,2007,1342,1095
Acinetobacter baumannii,Piperacillin tazobactam,2008,1500,874
Acinetobacter baumannii,Piperacillin tazobactam,2009,1755,991
Acinetobacter baumannii,Piperacillin tazobactam,2010,1378,771
Acinetobacter baumannii,Piperacillin tazobactam,2011,747,719
Acinetobacter baumannii,Piperacillin tazobactam,2012,1140,503
Acinetobacter baumannii,Piperacillin tazobactam,2013,1384,507
Acinetobacter baumannii,Piperacillin tazobactam,2014,1602,594
Acinetobacter baumannii,Piperacillin tazobactam,2015,1296,547
Acinetobacter baumannii,Piperacillin tazobactam,2016,1215,523
Acinetobacter baumannii,Piperacillin tazobactam,2017,522,363
Acinetobacter baumannii,Piperacillin tazobactam,2018,1403,494
Acinetobacter baumannii,Piperacillin tazobactam,2019,2709,912
Acinetobacter baumannii,Piperacillin tazobactam,2020,2396,868
Acinetobacter baumannii,Piperacillin tazobactam,2021,2636,867
Acinetobacter baumannii,Piperacillin tazobactam,2022,2151,892
Acinetobacter baumannii,Tigecycline,2004,17,1306
Acinetobacter baumannii,Tigecycline,2005,25,1319
Acinetobacter baumannii,Tigecycline,2006,62,1805
Acinetobacter baumannii,Tigecycline,2007,75,2362
Acinetobacter baumannii,Tigecycline,2008,114,2260
Acinetobacter baumannii,Tigecycline,2009,118,2628
Acinetobacter baumannii,Tigecycline,2010,113,2036
Acinetobacter baumannii,Tigecycline,2011,22,1444
Acinetobacter baumannii,Tigecycline,2012,148,1495
Acinetobacter baumannii,Tigecycline,2013,97,1794
Acinetobacter baumannii,Tigecycline,2014,113,2083
Acinetobacter baumannii,Tigecycline,2015,63,1780
Acinetobacter baumannii,Tigecycline,2016,31,1707
Acinetobacter baumannii,Tigecycline,2017,21,864
Acinetobacter baumannii,Tigecycline,2018,81,1816
Acinetobacter baumannii,Tigecycline,2019,178,3443
Acinetobacter baumannii,Tigecycline,2020,235,3029
Acinetobacter baumannii,Tigecycline,2021,330,3173
Acinetobacter baumannii,Tigecycline,2022,222,2821
Acinetobacter baumannii,Ampicillin sulbactam,2018,1340,557
Acinetobacter baumannii,Ampicillin sulbactam,2019,2376,1245
Acinetobacter baumannii,Ampicillin sulbactam,2020,2117,1147
Acinetobacter baumannii,Ampicillin sulbactam,2021,2375,1128
Acinetobacter baumannii,Ampicillin sulbactam,2022,1880,1163
Acinetobacter baumannii,Ciprofloxacin,2018,1403,494
Acinetobacter baumannii,Ciprofloxacin,2019,2678,943
Acinetobacter baumannii,Ciprofloxacin,2020,2383,881
Acinetobacter baumannii,Ciprofloxacin,2021,2574,929
Acinetobacter baumannii,Ciprofloxacin,2022,2136,907
Acinetobacter baumannii,Colistin,2014,1197,0
Acinetobacter baumannii,Colistin,2015,686,0
Acinetobacter baumannii,Colistin,2016,639,0
Acinetobacter baumannii,Colistin,2017,10,0
Acinetobacter baumannii,Colistin,2018,1897,0
Acinetobacter baumannii,Colistin,2019,3621,0
Acinetobacter baumannii,Colistin,2020,3264,0
Acinetobacter baumannii,Colistin,2021,3503,0
Acinetobacter baumannii,Colistin,2022,3043,0
Acinetobacter baumannii,Doripenem,2012,352,169
Acinetobacter baumannii,Doripenem,2013,460,238
Acinetobacter baumannii,Doripenem,2014,793,404
Acinetobacter baumannii,Doripenem,2015,457,229
Acinetobacter baumannii,Doripenem,2016,417,222
Acinetobacter baumannii,Doripenem,2017,6,4
Acinetobacter baumannii,Gentamicin,2018,1251,646
Acinetobacter baumannii,Gentamicin,2019,2350,1271
Acinetobacter baumannii,Gentamicin,2020,2088,1176
Acinetobacter baumannii,Gentamicin,2021,2311,1192
Acinetobacter baumannii,Gentamicin,2022,1953,1090
Acinetobacter baumannii,Trimethoprim sulfa,2018,1201,696
Acinetobacter baumannii,Trimethoprim sulfa,2019,2280,1341
Acinetobacter baumannii,Trimethoprim sulfa,2020,1994,1270
Acinetobacter baumannii,Trimethoprim sulfa,2021,2123,1380
Acinetobacter baumannii,Trimethoprim sulfa,2022,1829,1214
Pseudomonas aeruginosa,Amikacin,2004,105,1972
Pseudomonas aeruginosa,Amikacin,2005,149,2103
Pseudomonas aeruginosa,Amikacin,2006,270,2886
Pseudomonas aeruginosa,Amikacin,2007,395,3698
Pseudomonas aeruginosa,Amikacin,2008,551,3300
